Sr No,startup,vertical,city,investors,round,amount,year,state
904,ZopHop,Logistics,Mumbai,"Amit singhal, Pk gulati & others",Seed Funding,3.71,2015,Maharashtra
905,ZopNow,E-Commerce,Bengaluru,"Dragoneer investment, Accel partners, Qualcomm ventures, Times internet",Private Equity,82.5,2015,Karnataka
906,Zopper,E-Commerce,Mumbai,"Tiger global,  nirvana ventures advisors",Private Equity,165,2015,Maharashtra
907,Zovi / Little App,E-Commerce,Bengaluru,"Paytm, Saif partners,  tiger global management & others",Private Equity,412.5,2015,Karnataka
908,ZuperMeal,Food,Mumbai,"Sanjeev kapoor,  ravi saxena & others",Private Equity,16.5,2015,Maharashtra
909,121Policy,Consumer Internet,Kolkata,Xelpmoc,Seed Funding,0,2016,West Bengal
910,1mg,Healthcare,Gurugram,"Maverick capital ventures, Sequoia capital, Omidyar network",Private Equity,123.75,2016,Haryana
911,1mg,Healthcare,Gurugram,Hbm healthcare investments,Private Equity,0,2016,Haryana
912,360Ride,Consumer Internet,Bengaluru,Undisclosed,Seed Funding,1.24,2016,Karnataka
913,3Dexter,Technology,New Delhi,Newbie promoters,Seed Funding,1.24,2016,Delhi
914,6Degree,Networking,Mumbai,Indian angel network,Seed Funding,1.65,2016,Maharashtra
915,91SpringBoard,Careers,New Delhi,"Khattar holdings, Thirtythree investments, Soumitra sharma, Deepak sharma, Sumit dayal and others",Private Equity,0,2016,Delhi
916,Aahaa,E-Commerce,Chennai,"Yournest angel fund,",Private Equity,8.25,2016,Tamil Nadu
917,Aarav UAV,Technology,Kanpur,"Startupxseed ventures, The phoenix fund and others",Seed Funding,0,2016,Uttar Pradesh
918,Aasaanjobs,Consumer Internet,Mumbai,"Aspada advisors, Idg ventures,  inventus capital",Private Equity,41.25,2016,Maharashtra
919,AbeRuk,E-Commerce,Bengaluru,Swastika company pvt ltd,Seed Funding,0,2016,Karnataka
920,Actofit,Technology,Mumbai,Next orbit ventures fund,Private Equity,6.19,2016,Maharashtra
921,ActOnMagic,Technology,Bengaluru,Jayabalan subramanian,Seed Funding,1.03,2016,Karnataka
922,Address Health,Healthcare,Bengaluru,Gray matters capital,Private Equity,12.38,2016,Karnataka
923,AdPushUp,Technology,New Delhi,"Geniee, Inc, Purvi capital",Private Equity,0,2016,Delhi
924,AdUrCup,Consumer Internet,New Delhi,Green house ventures (ghv),Seed Funding,0.83,2016,Delhi
925,Advanced Structures India,Real Estate,Bengaluru,Girnarsoft,Private Equity,0,2016,Karnataka
926,Advantage Club,Consumer Internet,Gurugram,Purvi ventures & others,Seed Funding,3.3,2016,Haryana
927,Advenio,Technology,Chandigarh,Kalaari capital,Seed Funding,0.83,2016,Chandigarh
928,Adytude,Consumer Internet,New Delhi,Indian angel network,Private Equity,8.25,2016,Delhi
929,AerMed,E-Commerce,Mumbai,Hitesh windlass,Seed Funding,0,2016,Maharashtra
930,Affimity,Consumer Internet,Bengaluru,Undisclosed investors,Seed Funding,9.9,2016,Karnataka
931,Affordplan,Technology,New Delhi,"Prime venture partners, Kalaari capital",Private Equity,24.75,2016,Delhi
932,Affordplan,Technology,New Delhi,Kalaari capital accelerator program,Seed Funding,4.13,2016,Delhi
933,Airwood,Technology,Chennai,Startupxseed ventures,Seed Funding,0,2016,Tamil Nadu
934,Aisle,Consumer Internet,Bengaluru,"Termsheet, Ah! ventures",Seed Funding,1.53,2016,Karnataka
935,Alef Mobitech,Consumer Internet,Mumbai,Tata capital innovation fund,Private Equity,41.25,2016,Maharashtra
936,AlmaConnect,Consumer Internet,New Delhi,"Mohandas pai, Varun aggarwal",Seed Funding,0,2016,Delhi
937,Alternacare,Consumer Internet,New Delhi,Eros labs,Seed Funding,4.13,2016,Delhi
938,Altizone,Technology,Pune,"Wipro ventures,  lumis partners",Private Equity,33,2016,Maharashtra
939,Amagi Media Labs,Media,Mumbai,"Emerald media, Premji invest",Private Equity,288.75,2016,Maharashtra
940,American Vision,Consumer Internet,Pune,Undisclosed investors,Seed Funding,0.67,2016,Maharashtra
941,Anandakanda,Technology,Pune,Undisclosed investors,Seed Funding,1.24,2016,Maharashtra
942,AppDaily,Technology,Mumbai,"Kalaari capital, Qualcomm ventures, Ru-net, Zodius technology opportunities fund,",Private Equity,16.5,2016,Maharashtra
943,Appie,Consumer Internet,Mumbai,Undisclosed investors,Seed Funding,8.25,2016,Maharashtra
944,AppilyEver,Consumer Internet,Hyderabad,"Varun aggarwal, Suresh venkat, Raj y",Seed Funding,3.3,2016,Telangana
945,Appknox,Technology,Bengaluru,"Seedplus, Infocomm investments, Accel partners rnt associates",Private Equity,5.57,2016,Karnataka
946,Applicate,Software,Bengaluru,Undisclosed investors,Seed Funding,8.25,2016,Karnataka
947,AppLop,IT,Gurugram,Green house ventures accelerator,Seed Funding,2.06,2016,Haryana
948,AppsDaily,Technology,Mumbai,"Zodius capital, Kalaari capital, Qualcomm ventures, Russian venture capital fund ru-net, Mumbai angels",Private Equity,30.94,2016,Maharashtra
949,Arcatron,Technology,Pune,Sudhir mehta,Seed Funding,0.83,2016,Maharashtra
950,Arcatron,Technology,Pune,"Sudhir mehta, Anoop hingorani",Seed Funding,0,2016,Maharashtra
951,Ark Robot,Technology,Bengaluru,Qualcomm (through qprize contest),Seed Funding,2.89,2016,Karnataka
952,Asocon,Technology,Noida,Quarizon,Seed Funding,0,2016,Uttar Pradesh
